x;y;dbmsnr;hzbnr01;typ
438338,61;298425,42;2002007;309625;gw
118225,99;381311,93;8002150;327635;gw
604779,77;342193,03;6003673;358879;gw
609771,55;361355,9;6003111;343335;gw
388034,84;410477,1;5002005;319863;gw
126817,12;403855,77;8002099;322123;gw
451873,91;472897,92;4002852;376418;gw
620992,75;436962,77;1002121;313718;gw
554826,1;330578,37;6003302;343079;gw
480797,71;341895,99;2002546;354381;gw
638673,72;478959,89;9002250;341818;gw
458377,76;475275,59;4002839;375709;gw
623954;440462,48;3002602;315952;gw
551539,73;482653,68;3002757;327163;gw
481038,83;482394,63;4002800;377457;gw
193977,9;367735,75;7004198;342063;gw
603123,18;357042,54;6003451;349563;gw
375508,69;436792,43;5002444;358051;gw
438113,9;469939,44;4003251;344556;gw
626346,78;490310,63;9002072;312751;gw
677109,39;439961,62;1002005;305540;gw
605173,59;310644,38;6003375;349282;gw
120790,3;375890,6;8002066;321760;gw
625652,42;485557,51;9002059;312629;gw
276880,59;383108,93;7002012;330332;gw
506728,69;475674,88;3002198;302406;gw
131987,26;369042,23;8002074;321844;gw
480832,13;481681,43;4002361;316448;gw
343778,32;409252,2;7002261;339945;gw
460582,62;493919,76;4002035;306928;gw
569642,99;331206;6002169;311597;gw
305431,8;400845,71;7002206;339309;gw
139736,23;366224,9;8002526;357186;gw
501426,97;477379,29;4002195;308528;gw
576679,72;363801,31;6003128;343509;gw
646703,31;444478,77;1002185;326264;gw
541179,1;520899,44;3003073;337451;gw
627701,99;488509,06;9002075;312785;gw
601433,75;499824,1;3002330;303727;gw
502635,43;364468,3;6003649;358705;gw
646681,56;442576,23;1002340;345272;gw
596118,54;361830,29;6003449;349530;gw
567025,73;329833,65;6002110;311001;gw
130149,41;372207,48;8002480;379362;gw
389133,51;461814,83;4002537;324392;gw
383308,3;480168,41;4002523;324251;gw
390679,01;457551,56;4002541;324434;gw
638239,28;480832,01;9002249;341792;gw
165784,62;348021,67;7004271;342246;gw
516585,31;314905,03;2002470;354654;gw
459646,8;491229,46;4003130;374355;gw
568190,69;329847,51;6002119;311092;gw
128116,19;396917,64;8002199;328179;gw
250564,6;375714,09;7004111;346585;gw
595625,81;315991;6002175;311654;gw
574868,12;529440,17;3002871;331819;gw
129935,15;404897,72;8002104;322172;gw
269605,03;379043,56;7002167;334912;gw
606621,75;379983,68;1002268;335604;gw
577513,88;335137,83;6003309;343178;gw
423375,69;456779,79;4003265;344754;gw
600412,78;384414,15;6003350;343780;gw
634887,12;462345,35;3002033;300525;gw
641669,89;480158,04;3002863;331736;gw
456906,89;512563,96;4002605;316927;gw
673715,42;460184,06;1002156;319541;gw
440512,28;465702,31;4003084;378729;gw
504736,39;474007,35;3002901;337113;gw
570431,76;326208,25;6002757;336545;gw
439981,21;465612,27;4003075;374447;gw
130870,73;411305,24;8002156;327718;gw
562139,38;346020,98;6003258;340802;gw
462702,06;492892,39;4003063;374330;gw
430622,73;482363,09;4002602;324988;gw
490735,33;482556,97;4002177;308346;gw
592103,94;365561,94;6003119;343418;gw
464377,59;477926,91;4003285;344937;gw
634153,94;488501,05;9002093;312967;gw
493138,44;484383,39;4002767;378265;gw
551081,17;366890,49;6002421;325167;gw
457569,42;491341,28;4002022;306795;gw
673999,35;435662,41;1002059;306084;gw
141812,37;391356,98;8002655;357228;gw
509243,38;369234,93;6003415;349043;gw
356044,57;324925,9;7004337;342261;gw
130580,19;369938,29;8002694;357244;gw
216580,26;366958,21;7004251;342220;gw
538432,63;390910,5;6002665;332627;gw
119248,77;380222,33;8002117;322305;gw
581785,25;320171,76;6003312;343202;gw
329685,16;316610,23;7004550;370734;gw
444591,47;468736,73;4002390;316737;gw
437122,63;462928,47;4003026;374926;gw
270843,47;379558,2;7002215;339408;gw
420806,76;501695,94;4003190;344283;gw
452861,69;491253,13;4002095;307520;gw
552807,08;384748,16;6003048;340539;gw
637184,52;406971,76;1002363;345538;gw
453137,51;310958,82;2002464;352005;gw
432490,41;492171,65;4003303;344978;gw
469295,37;481644,45;4002130;307876;gw
231085,47;381014,37;7002147;334698;gw
476675,05;487705,62;4002416;323147;gw
334675,29;316698,93;7002255;339887;gw
422300,4;314314,42;2002307;339002;gw
355956,91;325960,62;7002316;346411;gw
595197,04;325242,84;6003372;343954;gw
472549,01;491284,27;4002890;378430;gw
631093,12;484578,74;9002205;333948;gw
560739,25;339934,69;6002278;315309;gw
486681,89;482235,46;4002780;377077;gw
390735,09;394512,52;5002458;361345;gw
469334,98;359629,81;6003534;340836;gw
440586,78;301503,91;2002126;338491;gw
567634,22;334034,83;6002153;311431;gw
614743,8;441020,36;3002554;313874;gw
598203,63;353037,05;6003345;343640;gw
416297,07;450594,41;4003223;344408;gw
172990,73;365029,68;7004696;358986;gw
194735,02;395925,63;7002115;334375;gw
452997,99;299335,87;2002120;338376;gw
228719,98;380593,57;7002202;339267;gw
121504,1;379011,11;8002371;347427;gw
374818,32;435598,98;5002227;347815;gw
458029,03;487201,49;4002085;307421;gw
257270,38;376126,64;7004753;371179;gw
514310,37;368801,03;6003411;349100;gw
618330;378850,31;1002353;345439;gw
461068,33;480745,27;4002300;314344;gw
129464,04;370969,01;8002043;321539;gw
477311,05;484227,44;4002812;377739;gw
660053,3;475610,45;10001124;356147;gw
494654,18;479099,1;4002167;308247;gw
123450,59;373003,94;8002041;321513;gw
475571,23;485578,72;4002820;377283;gw
682914,89;461749,13;1002070;306209;gw
361500,36;390636,02;5002153;347757;gw
499472,89;440451,86;4003280;344960;gw
474004,06;489937,65;4002881;378257;gw
245614,69;358314,56;7004487;354076;gw
143157,31;390755,74;8002245;332213;gw
632171,62;486286,78;9002128;319699;gw
633501,29;458635,82;11002117;300772;gw
116160,2;380530,28;8002005;309393;gw
286405,78;390662,41;7002165;334896;gw
386881,36;315814,69;2002268;338269;gw
328875,89;400021,38;7004777;359182;gw
589543,46;334246;6003610;356931;gw
651359,33;409835,76;1002277;335695;gw
446362,46;471208,49;4002110;307678;gw
204249,17;403353,89;7004384;342816;gw
129456,78;371918,29;8002453;379131;gw
600524,95;334101,31;6002861;340505;gw
461046,14;516421,42;4003078;316976;gw
612107,69;340439,63;1002447;353458;gw
637013,44;351025,72;1002242;335349;gw
129154,41;403058,51;8002094;322073;gw
453148,88;495644,09;4002003;306605;gw
561085,97;424445,64;6003628;372375;gw
620064,38;347218,34;1002317;345132;gw
645822,21;443955,73;1002114;313338;gw
470011,83;479131,72;4002737;375378;gw
463100,74;476686,87;4002347;316307;gw
495402,79;366730,26;6003330;343749;gw
471521,05;485289,45;4002906;377507;gw
574669,27;486572,25;3002680;322859;gw
130591,14;369835,64;8002083;321935;gw
558056,09;343261,65;6002284;315366;gw
231685,26;380251,13;7002149;334714;gw
140737,12;376594,4;8002313;347260;gw
271154,6;380420,61;7002084;334052;gw
501023,4;479089,33;4002201;308585;gw
417536,19;515135,43;4003328;359505;gw
448920,07;495072,49;4002059;307165;gw
122190,15;375558,01;8002039;321497;gw
648679,81;448592;1002523;353722;gw
572010,68;322098,25;6003279;340976;gw
128900,04;405831,74;8002431;378935;gw
220131,06;355985,68;7004312;342634;gw
578915,72;360271,15;6003131;343541;gw
471539,83;492602,73;4002704;376863;gw
225774,27;379535,49;7002192;339168;gw
605451,94;315333,44;6002526;328716;gw
437628,24;463475,18;4003022;374843;gw
557015,11;347509,17;6002070;310607;gw
236604,63;382396,35;7004114;346601;gw
